province,season_year,season,component,raw_value,month_count,grid_count,station_count,reference_mean,reference_sd,reference_n,standardized_value
Jilin,2017,Spring,W,5.942526676516035,3,6,10,6.669476365736921,3.564180671882334,30,-0.20395983148546884
Jilin,2017,Summer,T10,11.070777970715747,3,6,10,9.615492988035236,3.7515103734703086,30,0.387919754393298
Jilin,2017,Summer,T90,18.767937515665114,3,6,10,9.583001016094654,6.472096141548924,30,1.4191594652937727
Jilin,2017,Summer,W,7.82767532134962,3,6,10,6.59529494499161,3.171245783403919,30,0.3886108048790876
Jilin,2017,Winter,T10,3.5820110334321886,3,6,10,9.551527418618987,7.670529064146335,29,-0.7782405014394083
Jilin,2017,Winter,T90,15.652978310670308,3,6,10,9.91376159424016,5.333592775536447,29,1.0760507893955034
Jilin,2017,Winter,W,6.724953516480414,3,6,10,6.3730096856980705,2.521033451049837,29,0.1396029991731301
Jilin,2018,Autumn,T10,5.252090655264944,3,6,10,9.589212469633953,4.647280796885773,30,-0.9332601157380879
Jilin,2018,Autumn,T90,10.026007546288097,3,6,10,9.563824829850114,4.422061468886955,30,0.10451747893823729
Jilin,2018,Autumn,W,5.057434316940481,3,6,10,6.347817724080207,3.3587143097765035,30,-0.3841896893057248
Jilin,2018,Spring,T10,7.802949487440387,3,6,10,9.58424491560105,4.3716596561341285,30,-0.4074643426693164
Jilin,2018,Spring,T90,19.966369333796834,3,6,10,9.623019995537119,5.1727807945795385,30,1.999572328504297
Jilin,2018,Spring,W,5.0898923483431275,3,6,10,6.669476365736921,3.564180671882334,30,-0.4431829255612834
Jilin,2018,Summer,T10,5.045712367084931,3,6,10,9.615492988035236,3.7515103734703086,30,-1.2181175489388452
Jilin,2018,Summer,T90,23.440421936061117,3,6,10,9.583001016094654,6.472096141548924,30,2.141102452265188
Jilin,2018,Summer,W,7.546629788372656,3,6,10,6.59529494499161,3.171245783403919,30,0.2999877361633926
Jilin,2018,Winter,T10,17.30730089629853,3,6,10,9.551527418618987,7.670529064146335,29,1.0111132377988967
Jilin,2018,Winter,T90,4.406790245642527,3,6,10,9.91376159424016,5.333592775536447,29,-1.0325069011373387
Jilin,2018,Winter,W,6.629195381347866,3,6,10,6.3730096856980705,2.521033451049837,29,0.10161931629392389
Jilin,2019,Autumn,T10,6.261129936518931,3,6,10,9.589212469633953,4.647280796885773,30,-0.7161354517990887
Jilin,2019,Autumn,T90,17.70642262616315,3,6,10,9.563824829850114,4.422061468886955,30,1.8413578946387983
Jilin,2019,Autumn,W,6.821526117208369,3,6,10,6.347817724080207,3.3587143097765035,30,0.14103860865727608
Jilin,2019,Spring,T10,7.932242044631095,3,6,10,9.58424491560105,4.3716596561341285,30,-0.37788917731780275
Jilin,2019,Spring,T90,21.322558837060573,3,6,10,9.623019995537119,5.1727807945795385,30,2.2617503633216365
Jilin,2019,Spring,W,6.968504582688655,3,6,10,6.669476365736921,3.564180671882334,30,0.0838981646780014
Jilin,2019,Summer,T10,7.041726583152733,3,6,10,9.615492988035236,3.7515103734703086,30,-0.6860613855911207
Jilin,2019,Summer,T90,11.065030641594477,3,6,10,9.583001016094654,6.472096141548924,30,0.22898757884414536
Jilin,2019,Summer,W,5.699136287760058,3,6,10,6.59529494499161,3.171245783403919,30,-0.2825888368291792
Jilin,2019,Winter,T10,6.1923550318245715,3,6,10,9.551527418618987,7.670529064146335,29,-0.4379322936791796
Jilin,2019,Winter,T90,23.377384638979322,3,6,10,9.91376159424016,5.333592775536447,29,2.524306524954936
Jilin,2019,Winter,W,8.3960022760256,3,6,10,6.3730096856980705,2.521033451049837,29,0.8024457547301057
Jilin,2020,Autumn,P,115.37140388528921,3,5,5,23.090290797011214,7.713248741560856,21,11.963974737524666
Jilin,2020,Autumn,T10,4.666410823919495,3,6,10,9.589212469633953,4.647280796885773,30,-1.0592864646813072
Jilin,2020,Autumn,T90,11.953364947139901,3,6,10,9.563824829850114,4.422061468886955,30,0.5403679107814936
Jilin,2020,Autumn,W,8.79298420744202,3,6,10,6.347817724080207,3.3587143097765035,30,0.7280066888226999
Jilin,2020,Spring,P,32.90804220338776,3,5,5,19.112087749660873,4.983801263794145,21,2.768159026314
Jilin,2020,Spring,T10,11.087822343012055,3,6,10,9.58424491560105,4.3716596561341285,30,0.34393743925176096
Jilin,2020,Spring,T90,11.788500355811449,3,6,10,9.623019995537119,5.1727807945795385,30,0.4186298330181509
Jilin,2020,Spring,W,4.024917987652777,3,6,10,6.669476365736921,3.564180671882334,30,-0.7419821332142195
Jilin,2020,Summer,P,96.35610171882716,3,5,5,60.7921244642874,12.595080173489773,20,2.823640402813403
Jilin,2020,Summer,T10,6.1787591050235084,3,6,10,9.615492988035236,3.7515103734703086,30,-0.916093397292835
Jilin,2020,Summer,T90,16.583840303891147,3,6,10,9.583001016094654,6.472096141548924,30,1.081695811478015
Jilin,2020,Summer,W,6.184530009366689,3,6,10,6.59529494499161,3.171245783403919,30,-0.12952794065177073
Jilin,2020,Winter,P,20.016730031697637,3,5,5,4.4321703099494325,1.3715696749869084,19,11.362572391298283
Jilin,2020,Winter,T10,7.420795134523698,3,6,10,9.551527418618987,7.670529064146335,29,-0.2777816583806167
Jilin,2020,Winter,T90,14.739255593904076,3,6,10,9.91376159424016,5.333592775536447,29,0.9047361136750027
Jilin,2020,Winter,W,3.7350920493973887,3,6,10,6.3730096856980705,2.521033451049837,29,-1.046363599500106
Jilin,2021,Autumn,T10,5.4871992369573155,3,6,10,9.589212469633953,4.647280796885773,30,-0.8826695463345944
Jilin,2021,Autumn,T90,14.644972056775053,3,6,10,9.563824829850114,4.422061468886955,30,1.1490449109934868
Jilin,2021,Autumn,W,3.919213034361602,3,6,10,6.347817724080207,3.3587143097765035,30,-0.7230756967478458
Jilin,2021,Spring,P,30.58581984168065,3,5,5,19.112087749660873,4.983801263794145,21,2.302204980638589
Jilin,2021,Spring,T10,7.830363867805635,3,6,10,9.58424491560105,4.3716596561341285,30,-0.40119341068430214
Jilin,2021,Spring,T90,20.441549022480345,3,6,10,9.623019995537119,5.1727807945795385,30,2.0914338837400113
Jilin,2021,Spring,W,4.558919639219657,3,6,10,6.669476365736921,3.564180671882334,30,-0.5921576151196133
Jilin,2021,Summer,P,105.33627164517327,3,5,5,60.7921244642874,12.595080173489773,20,3.536630697646749
Jilin,2021,Summer,T10,5.83346336026797,3,6,10,9.615492988035236,3.7515103734703086,30,-1.0081351912319851
Jilin,2021,Summer,T90,16.593487919598967,3,6,10,9.583001016094654,6.472096141548924,30,1.083186459252217
Jilin,2021,Summer,W,5.829623141298728,3,6,10,6.59529494499161,3.171245783403919,30,-0.24144196192545928
Jilin,2021,Winter,P,10.875383750872059,3,5,5,4.4321703099494325,1.3715696749869084,19,4.697693131035525
Jilin,2021,Winter,T10,11.44462852513175,3,6,10,9.551527418618987,7.670529064146335,29,0.24680189471695183
Jilin,2021,Winter,T90,12.333331762603057,3,6,10,9.91376159424016,5.333592775536447,29,0.4536473387058575
Jilin,2021,Winter,W,8.065130938125815,3,6,10,6.3730096856980705,2.521033451049837,29,0.6712014280187725
Jilin,2022,Autumn,P,61.60514055327729,3,6,10,23.090290797011214,7.713248741560856,21,4.993336925430489
Jilin,2022,Autumn,T10,9.789068469507301,3,6,10,9.589212469633953,4.647280796885773,30,0.04300493312288665
Jilin,2022,Autumn,T90,19.317357157598376,3,6,10,9.563824829850114,4.422061468886955,30,2.205652815179716
Jilin,2022,Autumn,W,6.567114687358831,3,6,10,6.347817724080207,3.3587143097765035,30,0.06529193704873829
Jilin,2022,Spring,P,35.14369949484983,3,5,7,19.112087749660873,4.983801263794145,21,3.2167437858435313
Jilin,2022,Spring,T10,7.525577147944567,3,6,10,9.58424491560105,4.3716596561341285,30,-0.47091217743079483
Jilin,2022,Spring,T90,17.56622755399627,3,6,10,9.623019995537119,5.1727807945795385,30,1.535577839830888
Jilin,2022,Spring,W,6.746131652610619,3,6,10,6.669476365736921,3.564180671882334,30,0.021507127143814017
Jilin,2022,Summer,P,141.0088471939247,3,6,10,60.7921244642874,12.595080173489773,20,6.368893379375077
Jilin,2022,Summer,T10,9.4480602918093,3,6,10,9.615492988035236,3.7515103734703086,30,-0.04463074323610437
Jilin,2022,Summer,T90,12.302225305506163,3,6,10,9.583001016094654,6.472096141548924,30,0.42014584300670393
Jilin,2022,Summer,W,4.201946577173826,3,6,10,6.59529494499161,3.171245783403919,30,-0.7547028932108937
Jilin,2022,Winter,T10,8.737727910876933,3,6,10,9.551527418618987,7.670529064146335,29,-0.10609431252218626
Jilin,2022,Winter,T90,8.330434866228325,3,6,10,9.91376159424016,5.333592775536447,29,-0.2968593206579379
Jilin,2022,Winter,W,4.600382552190901,3,6,10,6.3730096856980705,2.521033451049837,29,-0.7031351102338577
Jilin,2023,Autumn,D,29.21557287059097,3,5,5,40.16679187674689,5.385151143685484,18,-2.0335954765164
Jilin,2023,Autumn,P,64.96086631927047,3,6,10,23.090290797011214,7.713248741560856,21,5.428396895415862
Jilin,2023,Autumn,T10,6.673847971188196,3,6,10,9.589212469633953,4.647280796885773,30,-0.627326952225352
Jilin,2023,Autumn,T90,19.54068907148854,3,6,10,9.563824829850114,4.422061468886955,30,2.2561568426477865
Jilin,2023,Autumn,W,5.36172370118386,3,6,10,6.347817724080207,3.3587143097765035,30,-0.29359270600242404
Jilin,2023,Spring,D,23.736554275955836,3,5,5,40.01292162135789,4.630291587445676,18,-3.5151927341968965
Jilin,2023,Spring,P,30.14031497049412,3,6,10,19.112087749660873,4.983801263794145,21,2.2128144035256954
Jilin,2023,Spring,T10,4.161447276645906,3,6,10,9.58424491560105,4.3716596561341285,30,-1.2404436908408691
Jilin,2023,Spring,T90,22.108352825864092,3,6,10,9.623019995537119,5.1727807945795385,30,2.413659755969192
Jilin,2023,Spring,W,5.782081675690107,3,6,10,6.669476365736921,3.564180671882334,30,-0.2489757876326057
Jilin,2023,Summer,D,26.476063573273407,3,5,5,40.0898567490524,4.589674426526759,18,-2.9661784062712364
Jilin,2023,Summer,P,126.0234988699223,3,6,10,60.7921244642874,12.595080173489773,20,5.179115456758619
Jilin,2023,Summer,T10,4.873023945667411,3,6,10,9.615492988035236,3.7515103734703086,30,-1.264149254632298
Jilin,2023,Summer,T90,16.332160845894165,3,6,10,9.583001016094654,6.472096141548924,30,1.042808957436822
Jilin,2023,Summer,W,5.41482988336984,3,6,10,6.59529494499161,3.171245783403919,30,-0.3722401675075135
Jilin,2023,Winter,D,20.997044978638268,3,5,5,39.7559892425058,5.417071319616268,18,-3.4629310114374436
Jilin,2023,Winter,P,12.4467223713632,3,6,10,4.4321703099494325,1.3715696749869084,19,5.8433430015068435
Jilin,2023,Winter,T10,8.305295682317169,3,6,10,9.551527418618987,7.670529064146335,29,-0.16247011462702968
Jilin,2023,Winter,T90,9.360046962856215,3,6,10,9.91376159424016,5.333592775536447,29,-0.10381644319072586
Jilin,2023,Winter,W,6.8416867354981745,3,6,10,6.3730096856980705,2.521033451049837,29,0.1859067159957486
Jilin,2024,Autumn,D,31.333333333333332,3,1,1,40.16679187674689,5.385151143685484,18,-1.640336233416863
