province,wmo_id,usaf_prefix,lat_table,lon_table,elev_table_m
Hebei,54401,544010,40.766666666666666,114.91666666666667,774.1
Hebei,54404,544040,40.88333333333333,115.83333333333333,868.7
Hebei,54405,544050,40.416666666666664,115.5,572.1
Hebei,54408,544080,40.38333333333333,115.21666666666667,530.7
Hebei,54420,544200,40.93333333333333,117.33333333333333,530.1
Hebei,54423,544230,40.96666666666667,117.91666666666667,423.5
Hebei,54425,544250,40.4,117.46666666666667,634.4
Hebei,54429,544290,40.2,117.95,56.1
Hebei,54430,544300,40.766666666666666,118.15,270.3
Hebei,54432,544320,40.6,118.48333333333333,305.8
Hebei,54434,544340,40.166666666666664,118.33333333333333,132.8
Hebei,54436,544360,40.416666666666664,118.95,255.4
Hebei,54437,544370,39.5,118.61666666666666,19.3
Hebei,54438,544380,39.88333333333333,118.88333333333334,66.1
Hebei,54439,544390,40.016666666666666,118.71666666666667,52.0
Hebei,54449,544490,39.85,119.51666666666667,3.5
Hebei,54502,545020,39.483333333333334,116.03333333333333,30.4
Hebei,54503,545030,39.06666666666667,115.81666666666666,14.0
Hebei,54506,545060,39.31666666666667,115.95,25.7
Hebei,54507,545070,39.333333333333336,115.51666666666667,50.8
Hebei,54510,545100,39.916666666666664,116.95,19.3
Hebei,54512,545120,39.416666666666664,116.28333333333333,22.6
Hebei,54515,545150,39.5,116.7,14.8
Hebei,54518,545180,39.166666666666664,116.4,10.4
Hebei,54519,545190,39.3,116.48333333333333,13.4
Hebei,54520,545200,39.96666666666667,117.08333333333333,19.3
Hebei,54521,545210,39.766666666666666,116.98333333333333,14.2
Hebei,54522,545220,39.88333333333333,117.73333333333333,15.6
Hebei,54531,545310,39.733333333333334,118.71666666666667,44.1
Hebei,54532,545320,39.8,118.08333333333333,32.8
Hebei,54533,545330,39.583333333333336,118.1,10.1
Hebei,54534,545340,39.65,118.1,24.5
Hebei,54535,545350,39.28333333333333,118.46666666666667,4.4
Hebei,54539,545390,39.43333333333333,118.88333333333334,9.7
Hebei,54540,545400,39.733333333333334,119.2,18.7
Hebei,54541,545410,39.9,119.23333333333333,25.4
Hebei,54601,546010,38.983333333333334,115.65,14.3
Hebei,54602,546020,38.733333333333334,115.48333333333333,17.9
